source_file,run_set,workload,input_len,output_len,concurrency,row_type,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,mean_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,max_output_tokens_per_s,max_concurrent_requests,tp_size,dp_size,ep_size,enable_nccl_nvls,moe_a2a_backend,enable_dp_attention,status
tp4_nvl_off_32k_500_c1.json,tp4_nvl_off,32k_500,32768,500,1,matrix,100,280.15728749900154,0.3569423479671447,5747.175147124232,89.04283812388391,5836.217985248116,2801.018942970004,4395.829384699755,5267.24958067891,694.2398529597995,1512.657790140329,8.472955656895072,8.594983494496702,8.479329491748352,8.656916351174004,120.0,3,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c128.json,tp4_nvl_off,32k_500,32768,500,128,matrix,100,20.581110971997987,4.858824197394244,78232.56004939039,1212.0822842819682,79444.64233367237,17620.07820416009,20084.59179429883,20436.62195616096,7030.887315490036,14618.808967039697,110.13851138077425,735.5677900420361,42.61928186629696,170.14103379897279,6642.0,100,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c16.json,tp4_nvl_off,32k_500,32768,500,16,matrix,100,58.412362741000834,1.7119663596454378,27564.592912277945,427.06712807715087,27991.6600403551,9022.552299320196,16690.16512530216,19597.92433175113,915.468017610292,2804.0974569312325,33.35419630383861,76.91212067262451,32.62931407143977,244.17578759963308,1231.0,19,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c32.json,tp4_nvl_off,32k_500,32768,500,32,matrix,100,43.019501286999,2.324527179728631,37427.51430934405,579.8765502551042,38007.39085959915,12948.332054910315,23125.79247399955,27425.838291239827,1379.7788574401056,5212.845928459211,48.45500336735809,78.05941908704166,46.561010745994814,556.325562450911,2186.0,39,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c4.json,tp4_nvl_off,32k_500,32768,500,4,matrix,100,114.81299963499987,0.8709815118314856,14023.786549595288,217.27504794148243,14241.061597536771,4562.961219689969,7921.303010300474,10025.58201861186,746.8507979301285,1487.8823523001483,15.071997885346743,30.583175980519265,15.359033332367835,163.39774439857135,448.0,7,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c64.json,tp4_nvl_off,32k_500,32768,500,64,matrix,100,28.460942796999007,3.513587048512822,56572.72183442125,876.4994251220086,57449.221259543265,16255.108249409968,25390.015616801247,26432.50918008991,2901.173605910044,7358.457335188869,76.72768579509098,180.798767801915,53.74680206697257,715.733390600144,3727.0,67,4,4,4,False,megamoe,True,success
tp4_nvl_off_32k_500_c8.json,tp4_nvl_off,32k_500,32768,500,8,matrix,100,79.54300767499808,1.2571815288728634,20242.04322998073,313.6165041926245,20555.659734173354,6230.119471100043,10914.091123198888,14226.818134979805,744.4682780500079,1434.1939588481912,21.375619015870626,43.890103448308395,22.078590145737447,138.91895600027055,700.0,11,4,4,4,False,megamoe,True,success
tp4_nvl_off_4k_500.json,tp4_nvl_off,4k_500,4096,500,128,legacy_or_unsuffixed,1000,155.81932806999976,6.417689078666565,13050.255223065044,1636.7674226231209,14687.022645688165,19476.89398115301,37850.989496099675,67031.32897903954,1863.085970716009,17577.462929398735,78.18047528116075,349.33870829322086,69.33503663802011,264.51008600106434,6734.0,140,4,4,4,False,megamoe,True,incomplete
tp4_nvl_off_4k_500_c1.json,tp4_nvl_off,4k_500,4096,500,1,matrix,100,227.26792864100207,0.4400092903471762,920.8558429314738,109.76471757000657,1030.6205605014804,2272.1276137598034,4007.889259402873,4312.249850507688,176.90076800990937,207.8258661623477,8.427646154754274,8.540039291096534,8.432835338282477,8.586998747341568,120.0,3,4,4,4,False,megamoe,True,success
tp4_nvl_off_4k_500_c128.json,tp4_nvl_off,4k_500,4096,500,128,matrix,100,6.7954752309997275,14.715674268639537,30797.110266151507,3670.972103054819,34468.08236920633,3990.687545360015,6396.805388900976,6722.092966968849,800.7278957399831,860.868881680035,13.222697286695013,17.036676379954965,12.838909479554896,15.535726599227928,6971.0,100,4,4,4,False,megamoe,True,success
